asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
jeuk-pueh,,,"Enterprise Services, Department of (DES)",
9i3z-i596,qxh8-f4bd,dataset,Kennewick School District,"Health, Department of (DOH)"
9dvy-pnhx,,,"Public Instruction, Office of Superintendent of (OSPI)",
87uq-bpim,,,"Enterprise Services, Department of (DES)",
ie96-cgrn,,,"Health, Department of (DOH)",
7cyv-xbef,m8qx-ubtq,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
9fkm-pdg8,9ncw-tqjn,dataset,Kennewick School District,"Labor & Industries, Department of (LNI)"
d886-d5q2,,,"Licensing, Department of (DOL)",
6iab-kcxu,,,"Secretary of State, Office of the (SECSTATE)",
2xik-t628,55hd-c2d5,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
fwgq-q5ti,,,"Public Instruction, Office of Superintendent of (OSPI)",
xupn-4ych,,,"Financial Management, Office of (OFM)",
idwx-fext,,,"Fish and Wildlife, Department of (DFW)",
brpd-b6zd,,,Liquor and Cannabis Board (LCB),
23d3-v4ba,vtkh-65is,dataset,,"Ecology, Department of (ECY)"
s4zn-ybky,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
b9iy-rshy,vtkh-65is,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
xaex-8gn6,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
mu24-67ke,,,"Financial Management, Office of (OFM)",
fjjv-ikwf,qxh8-f4bd,dataset,"Fish and Wildlife, Department of (DFW)","Health, Department of (DOH)"
39uh-rsgs,,,"Financial Management, Office of (OFM)",
3r6b-hsaa,,,Public Disclosure Commission (PDC),
q57g-ay7d,,,Recreation and Conservation Office (RCO),
iana-jw8c,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
7pin-awi8,vzry-t2nc,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
agvw-ch2s,,,"Enterprise Services, Department of (DES)",
6fex-3r7d,,,"Fish and Wildlife, Department of (DFW)",
irc2-87d5,,,Recreation and Conservation Office (RCO),
iz23-7xxj,,,Public Disclosure Commission (PDC),
h9yj-vui4,,,"Fish and Wildlife, Department of (DFW)",
62bq-q9ck,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
qi6z-wzah,d886-d5q2,dataset,"Health, Department of (DOH)","Licensing, Department of (DOL)"
8bva-rkeb,,,Public Disclosure Commission (PDC),
rgra-syy5,,,"Ecology, Department of (ECY)",
scqv-y9et,,,"Public Instruction, Office of Superintendent of (OSPI)",
i278-it6c,,,Recreation and Conservation Office (RCO),
mpef-t92p,,,"Public Instruction, Office of Superintendent of (OSPI)",
32fu-jamm,mcp7-tcwf,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
4xk5-x9j6,,,"Labor & Industries, Department of (LNI)",
9zru-c2kz,,,"Health, Department of (DOH)",
7ma7-qs6m,,,"Financial Management, Office of (OFM)",
ydb3-3dnq,,,Recreation and Conservation Office (RCO),
2ctu-fcyb,,,"Public Instruction, Office of Superintendent of (OSPI)",
y3ds-rkew,,,Washington State Technology Solutions (CTS),
s8nh-j5f4,,,"Public Instruction, Office of Superintendent of (OSPI)",
t29s-ahtk,,,"Public Instruction, Office of Superintendent of (OSPI)",
d958-q2ci,,,"Ecology, Department of (ECY)",
yb3y-nvmi,,,"Public Instruction, Office of Superintendent of (OSPI)",
8wih-9h9v,,,Recreation and Conservation Office (RCO),
xhn7-64im,,,Public Disclosure Commission (PDC),
bjzy-b2zg,qxh8-f4bd,dataset,Other external user,"Health, Department of (DOH)"
nzk7-nuv6,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
c4ag-3cmj,,,Public Disclosure Commission (PDC),
9456-mbuy,,,"Public Instruction, Office of Superintendent of (OSPI)",
cqra-s74n,,,"Fish and Wildlife, Department of (DFW)",
ikwr-f47z,,,"Ecology, Department of (ECY)",
3d5d-sdqb,,,"Licensing, Department of (DOL)",
bk33-dzdv,,,Other external user,
3cnt-qzd8,,,Public Disclosure Commission (PDC),
spyf-ga46,,,"Public Instruction, Office of Superintendent of (OSPI)",
y344-6hfy,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
vaqt-qn8b,,,"Public Instruction, Office of Superintendent of (OSPI)",
f7s5-ednc,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
cz3x-ijnh,,,"Public Instruction, Office of Superintendent of (OSPI)",
r6r4-h2x4,,,"Enterprise Services, Department of (DES)",
x574-csgd,,,"Labor & Industries, Department of (LNI)",
hy3f-t287,qxh8-f4bd,dataset,"Salmon Recovery Office, Governor's (GSRO)","Health, Department of (DOH)"
tkg7-xxjz,e3k6-5ngk,filter,"Employment Security, Department of (ESD)","Public Instruction, Office of Superintendent of (OSPI)"
tkg7-xxjz,pxpn-hgrc,filter,"Employment Security, Department of (ESD)","Public Instruction, Office of Superintendent of (OSPI)"
3ckw-vp8n,qxh8-f4bd,dataset,Public Disclosure Commission (PDC),"Health, Department of (DOH)"
vyis-ich4,5s66-2kbs,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
d3bu-6mf8,vzry-t2nc,dataset,"Fish and Wildlife, Department of (DFW)",Other external user
cef6-tnvw,qxh8-f4bd,dataset,"Licensing, Department of (DOL)","Health, Department of (DOH)"
3f3v-gugf,,,"Enterprise Services, Department of (DES)",
3kwi-7zsj,,,"Enterprise Services, Department of (DES)",
28ar-n972,,,"Health, Department of (DOH)",
eeui-dkag,,,"Public Instruction, Office of Superintendent of (OSPI)",
jupx-avkw,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
d2ig-r3q4,,,Public Disclosure Commission (PDC),
8d7d-8in5,,,"Fish and Wildlife, Department of (DFW)",
wsf2-vpuw,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
q2jk-dthc,dwbh-u4rr,parent asset is private or deleted,"Accountancy, State Board of (WBOA)(ACB)",parent asset is private or deleted
xs9a-phgh,,,"Public Instruction, Office of Superintendent of (OSPI)",
f6iy-gbqv,vzry-t2nc,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
ndgf-xnuy,ncqh-ypvf,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
di4y-k8za,,,"Financial Management, Office of (OFM)",
nnqi-nktf,,,"Public Instruction, Office of Superintendent of (OSPI)",
nuxu-axvx,ebqc-wddc,parent asset is private or deleted,Asotin County Library,parent asset is private or deleted
k5fe-2e4s,,,"Ecology, Department of (ECY)",
ewuk-q8pu,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
fs63-sd8y,,,"Public Instruction, Office of Superintendent of (OSPI)",
sb4j-ca4h,,,"Attorney General, Office of the (ATG)",
2h2e-g4je,rpr4-cgyd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
biux-xiwe,,,Public Disclosure Commission (PDC),
bzff-4fmt,,,"Labor & Industries, Department of (LNI)",
mx83-wxi5,,,"Health, Department of (DOH)",
73ff-hunk,idhm-59de,dataset,Timberland Regional Library,"Ecology, Department of (ECY)"
7xsn-jhyc,,,"Labor & Industries, Department of (LNI)",
i7iu-f74k,,,"Ecology, Department of (ECY)",
k3fc-rj2x,bhmw-igtj,map,"Financial Management, Office of (OFM)","Public Instruction, Office of Superintendent of (OSPI)"
k3fc-rj2x,yu7n-qgtd,chart,"Financial Management, Office of (OFM)",Asotin County Library
ddbi-4iat,,,"Public Instruction, Office of Superintendent of (OSPI)",
ti55-mvy5,,,Public Disclosure Commission (PDC),
7364-4xgh,qxh8-f4bd,dataset,Timberland Regional Library,"Health, Department of (DOH)"
bv9x-jtbr,,,"Ecology, Department of (ECY)",
yu7n-qgtd,rpr4-cgyd,dataset,Asotin County Library,"Licensing, Department of (DOL)"
qjnp-3r9c,,,Washington State Technology Solutions (CTS),
bp5b-jrti,,,Public Disclosure Commission (PDC),
9kcu-2bem,,,Public Disclosure Commission (PDC),
wn8y-jzwn,ncri-v6ym,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)"
ncvg-8pc3,,,"Public Instruction, Office of Superintendent of (OSPI)",
qp8s-a5uf,,,"Labor & Industries, Department of (LNI)",
89me-k7y5,,,"Financial Management, Office of (OFM)",
bdai-8ppi,9ncw-tqjn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
knq3-eqnv,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
e7sd-jbuy,,,Public Disclosure Commission (PDC),
kg5k-8pyt,,,"Public Instruction, Office of Superintendent of (OSPI)",
qgtz-buis,,,"Commerce, Department of (COM)",
72ja-e4r2,t9je-9qwa,dataset,Timberland Regional Library,"Labor & Industries, Department of (LNI)"
6pgw-z496,j59h-dkq5,dataset,"Financial Management, Office of (OFM)","Enterprise Services, Department of (DES)"
d97t-gm7x,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
3vxk-ghwr,,,Washington State Technology Solutions (CTS),
4zgm-xva7,qxh8-f4bd,dataset,"Labor & Industries, Department of (LNI)","Health, Department of (DOH)"
9d84-b364,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ijvn-uemp,,,"Labor & Industries, Department of (LNI)",
jbe2-ek4r,,,"Ecology, Department of (ECY)",
yr5j-kyei,,,Recreation and Conservation Office (RCO),
xnnc-wpua,,,"Public Instruction, Office of Superintendent of (OSPI)",
kp4i-3mdm,hdw4-yhs4,dataset,Asotin County Library,"Ecology, Department of (ECY)"
fnp9-sdhr,6du3-3h9e,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
v928-8kke,,,"Public Instruction, Office of Superintendent of (OSPI)",
ma99-sxnd,,,"Secretary of State, Office of the (SECSTATE)",
s7ge-wicw,,,"Labor & Industries, Department of (LNI)",
inqc-k3vt,,,"Public Instruction, Office of Superintendent of (OSPI)",
ty2s-4gdy,hdw4-yhs4,dataset,"Financial Management, Office of (OFM)","Ecology, Department of (ECY)"
agzj-c944,syjk-ymxm,filter,"Enterprise Services, Department of (DES)",Washington State Technology Solutions (CTS)
agzj-c944,yeed-tnk5,parent asset is private or deleted,"Enterprise Services, Department of (DES)",parent asset is private or deleted
nu8y-srfd,rgra-syy5,dataset,Asotin County Library,"Ecology, Department of (ECY)"
52rt-f8sb,,,"Public Instruction, Office of Superintendent of (OSPI)",
9dee-kzm5,,,Liquor and Cannabis Board (LCB),
hsx3-pn9g,,,Washington State Technology Solutions (CTS),
gtyb-56w7,idhm-59de,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
t7dd-pcfx,9dee-kzm5,dataset,"Health, Department of (DOH)",Liquor and Cannabis Board (LCB)
jjzs-eqzk,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
rd48-d4y8,i3e8-j9am,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
n2vz-2wid,,,"Labor & Industries, Department of (LNI)",
tak8-xdcp,rpr4-cgyd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
h7j9-vgr3,,,"Ecology, Department of (ECY)",
f4cq-c24e,,,"Public Instruction, Office of Superintendent of (OSPI)",
fwbr-3ker,,,"Public Instruction, Office of Superintendent of (OSPI)",
i3e8-j9am,,,"Health, Department of (DOH)",
mjwb-szba,,,Public Disclosure Commission (PDC),
j59h-dkq5,,,"Enterprise Services, Department of (DES)",
8z6z-zpwg,qxh8-f4bd,dataset,"Health, Department of (DOH)","Health, Department of (DOH)"
f4wb-hxgz,3p3u-qc84,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
9bjy-hi93,,,"Financial Management, Office of (OFM)",
2zsf-krin,,,"Public Instruction, Office of Superintendent of (OSPI)",
gexj-mqiq,,,"Financial Management, Office of (OFM)",
u5i2-5q6t,fvrz-yz45,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
xfwu-9qse,y3ds-rkew,dataset,"Enterprise Services, Department of (DES)",Washington State Technology Solutions (CTS)
uj4q-wr8d,,,"Public Instruction, Office of Superintendent of (OSPI)",
cdk6-5kdf,,,"Licensing, Department of (DOL)",
krwu-jcs7,qxh8-f4bd,dataset,"Financial Management, Office of (OFM)","Health, Department of (DOH)"
kmpx-ezrh,a6d8-msj5,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
xjth-3vtg,,,"Labor & Industries, Department of (LNI)",
kt76-825t,,,"Secretary of State, Office of the (SECSTATE)",
df3b-7bms,,,"Public Instruction, Office of Superintendent of (OSPI)",
vuxe-zkgc,vtkh-65is,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)"
qjpj-7bg6,fvrz-yz45,dataset,Washington State Technology Solutions (CTS),"Attorney General, Office of the (ATG)"
fntr-5ajf,vtkh-65is,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
mj3m-v2m2,auvb-4rvk,dataset,Timberland Regional Library,"Fish and Wildlife, Department of (DFW)"
uie2-nw4g,,,Washington State Technology Solutions (CTS),
qbwu-c9dz,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
3ghg-qqp6,auvb-4rvk,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
hgcy-zq8m,9ncw-tqjn,dataset,"Salmon Recovery Office, Governor's (GSRO)","Labor & Industries, Department of (LNI)"
im25-68dw,6fpy-npmv,dataset,"Ecology, Department of (ECY)",Washington State Technology Solutions (CTS)
37cr-k5cr,,,Public Disclosure Commission (PDC),
jsfy-j9xm,,,Washington State Technology Solutions (CTS),
vdfh-vn22,,,"Public Instruction, Office of Superintendent of (OSPI)",
y7h5-2yxh,,,"Public Instruction, Office of Superintendent of (OSPI)",
hdw4-yhs4,,,"Ecology, Department of (ECY)",
8suz-ii6t,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
ynd2-ud55,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
bik9-dtcz,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
scyf-iix8,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
tzm4-avnz,,,"Public Instruction, Office of Superintendent of (OSPI)",
3v2j-kqbi,,,Public Disclosure Commission (PDC),
5tvk-w2c5,,,"Public Instruction, Office of Superintendent of (OSPI)",
swyb-gmfy,,,Washington State Technology Solutions (CTS),
p2c3-pm28,,,"Financial Management, Office of (OFM)",
vdrf-uvie,y3ds-rkew,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
xawg-cey9,fvrz-yz45,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
swuj-ccgu,,,"Financial Management, Office of (OFM)",
xguq-ngdm,,,"Enterprise Services, Department of (DES)",
5ikh-48ry,,,Asotin County Library,
rwnw-rgrc,gdw2-uv4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
hrqw-gnde,,,"Public Instruction, Office of Superintendent of (OSPI)",
