asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
u9bz-ntiy,,,"Public Instruction, Office of Superintendent of (OSPI)",
y9ci-zfc7,,,"Salmon Recovery Office, Governor's (GSRO)",
gga2-dn2v,,,"Public Instruction, Office of Superintendent of (OSPI)",
k32n-7vtp,,,"Financial Management, Office of (OFM)",
dt2b-9f76,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
h8cm-thw9,,,Asotin County Library,
r975-qgsb,,,"Natural Resources, Department of (DNR)",
xn75-8p8m,cqra-s74n,dataset,"Salmon Recovery Office, Governor's (GSRO)","Fish and Wildlife, Department of (DFW)"
2vxy-pcgd,,,"Public Instruction, Office of Superintendent of (OSPI)",
unwr-k3m7,,,Asotin County Library,
aezt-3f9c,,,"Ecology, Department of (ECY)",
svjk-9m3x,,,"Public Instruction, Office of Superintendent of (OSPI)",
83j2-4r5n,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
w2hk-9xue,,,"Public Instruction, Office of Superintendent of (OSPI)",
tt5v-gg3d,,,"Ecology, Department of (ECY)",
fvga-cpzx,,,"Public Instruction, Office of Superintendent of (OSPI)",
qsd4-peud,,,"Public Instruction, Office of Superintendent of (OSPI)",
48bu-szt4,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
g9uw-w5ps,,,"Ecology, Department of (ECY)",
6fpy-npmv,,,Washington State Technology Solutions (CTS),
ma6y-cc2j,,,Higher Ed - not listed,
tw6a-23eg,,,"Financial Management, Office of (OFM)",
evia-rdnc,cdk6-5kdf,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
ib9z-p8ai,,,"Public Instruction, Office of Superintendent of (OSPI)",
59us-gyxk,,,Other external user,
yu5d-iw3n,,,"Public Instruction, Office of Superintendent of (OSPI)",
qm8p-c8au,gdw2-uv4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
due8-bciv,,,"Public Instruction, Office of Superintendent of (OSPI)",
5wzv-5nkb,52ar-e75j,dataset,Washington State Technology Solutions (CTS),"Salmon Recovery Office, Governor's (GSRO)"
u6dn-nwju,,,"Public Instruction, Office of Superintendent of (OSPI)",
ns3f-z8gi,,,"Ecology, Department of (ECY)",
i4qe-t767,,,"Public Instruction, Office of Superintendent of (OSPI)",
bttt-tinh,,,"Licensing, Department of (DOL)",
f24i-77wz,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
ycud-x4fm,,,"Salmon Recovery Office, Governor's (GSRO)",
5qzb-d5hq,,,"Secretary of State, Office of the (SECSTATE)",
84gg-fw5a,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ku3c-bpyf,,,Other external user,
94pm-hzhf,,,"Public Instruction, Office of Superintendent of (OSPI)",
k99f-m882,,,"Public Instruction, Office of Superintendent of (OSPI)",
8xu6-vcjv,,,"Licensing, Department of (DOL)",
ahj9-wk4z,,,"Ecology, Department of (ECY)",
ehju-t29q,,,Other external user,
eizb-qcm8,,,"Public Instruction, Office of Superintendent of (OSPI)",
nbdb-vj2y,ydx3-umcz,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted
s2cj-vey9,,,"Public Instruction, Office of Superintendent of (OSPI)",
v7ua-cvix,,,"Public Instruction, Office of Superintendent of (OSPI)",
nmuj-qey5,ehju-t29q,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
3s7j-r9i6,,,Public Disclosure Commission (PDC),
67dz-ikj6,,,Public Disclosure Commission (PDC),
d4xv-sann,ap5x-26cj,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
mkt8-j3wx,gpri-47xz,dataset,"Ecology, Department of (ECY)","Attorney General, Office of the (ATG)"
9sdw-jxr5,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
j78i-gfy5,,,"Financial Management, Office of (OFM)",
j4r4-tt8c,,,"Public Instruction, Office of Superintendent of (OSPI)",
ifa2-zv4p,,,"Public Instruction, Office of Superintendent of (OSPI)",
5d92-hjkq,,,"Public Instruction, Office of Superintendent of (OSPI)",
4mhu-cm3k,gpri-47xz,dataset,Other external user,"Attorney General, Office of the (ATG)"
sq47-zr6t,,,"Public Instruction, Office of Superintendent of (OSPI)",
h64h-anq6,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
aka9-evvz,r7e2-ww9m,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
2huh-ia5i,,,"Financial Management, Office of (OFM)",
un75-jhzj,,,"Health, Department of (DOH)",
mvxy-4u2p,,,"Salmon Recovery Office, Governor's (GSRO)",
pzdn-qupa,,,"Accountancy, State Board of (WBOA)(ACB)",
eqkx-cuvs,,,Asotin County Library,
efrr-mnpp,tt5v-gg3d,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
qymv-67iw,,,"Health, Department of (DOH)",
p6qw-u6he,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
d4e3-hkxi,gdw2-uv4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
qs3u-5r9r,,,Washington State Technology Solutions (CTS),
ewcd-ij84,3b7q-74f4,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
j8pm-xq6k,,,Asotin County Library,
ei6b-djpx,qgtz-buis,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Commerce, Department of (COM)"
itdd-tv4f,,,"Financial Management, Office of (OFM)",
tid7-ubck,,,"Public Instruction, Office of Superintendent of (OSPI)",
x8is-gy9s,,,"Public Instruction, Office of Superintendent of (OSPI)",
3pgv-43ur,,,Other external user,
nde6-xvwf,,,"Financial Management, Office of (OFM)",
69jw-mwgp,,,Asotin County Library,
sci2-4yyc,,,"Public Instruction, Office of Superintendent of (OSPI)",
mk6g-nxsx,cqra-s74n,dataset,Public Disclosure Commission (PDC),"Fish and Wildlife, Department of (DFW)"
kbvx-cjh9,,,"Public Instruction, Office of Superintendent of (OSPI)",
amzn-3u3c,,,Asotin County Library,
rmp5-ihun,,,"Public Instruction, Office of Superintendent of (OSPI)",
muf3-r8c9,,,"Financial Management, Office of (OFM)",
khth-u22i,9bjy-hi93,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Financial Management, Office of (OFM)"
k77k-453n,6ukv-n3hz,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
w775-pgzv,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
5dr7-usej,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
x2zm-eba9,,,"Ecology, Department of (ECY)",
9ddd-ww9y,,,"Public Instruction, Office of Superintendent of (OSPI)",
9tgp-j3hw,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
8f3x-w2na,,,"Public Instruction, Office of Superintendent of (OSPI)",
kwf8-x25v,,,Asotin County Library,
5fpr-p292,,,"Public Instruction, Office of Superintendent of (OSPI)",
tx5e-mafy,cqra-s74n,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
cznx-wvyr,,,"Public Instruction, Office of Superintendent of (OSPI)",
9weh-kphq,,,Washington State Technology Solutions (CTS),
n68s-ipss,,,"Public Instruction, Office of Superintendent of (OSPI)",
vysb-v99e,,,"Public Instruction, Office of Superintendent of (OSPI)",
ep6p-x4sw,,,Asotin County Library,
8ich-rwu8,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
4rfn-62je,,,"Financial Management, Office of (OFM)",
ex64-r4td,,,"Public Instruction, Office of Superintendent of (OSPI)",
b2hu-mc6n,,,"Public Instruction, Office of Superintendent of (OSPI)",
2vpq-8y6s,,,"Public Instruction, Office of Superintendent of (OSPI)",
hxpx-m5ym,,,"Salmon Recovery Office, Governor's (GSRO)",
b7tc-kpsc,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
9u47-ruwq,,,Recreation and Conservation Office (RCO),
d5px-pjwa,r7e2-ww9m,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
e7fb-c8dd,,,"Ecology, Department of (ECY)",
64hn-ugy2,,,"Financial Management, Office of (OFM)",
cst7-n7us,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
pv2y-w2pj,,,"Public Instruction, Office of Superintendent of (OSPI)",
n5vh-73iq,cgha-fszd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
dfg6-swea,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
npy4-i3c7,,,"Public Instruction, Office of Superintendent of (OSPI)",
w5gy-tk8t,,,"Public Instruction, Office of Superintendent of (OSPI)",
e9yn-b4s7,gdw2-uv4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
p2ix-zvmq,,,"Public Instruction, Office of Superintendent of (OSPI)",
kw82-bcav,,,Shoreline School District,
ujbe-i8ps,,,"Public Instruction, Office of Superintendent of (OSPI)",
cu52-r4gr,,,"Public Instruction, Office of Superintendent of (OSPI)",
7vxf-b8fu,,,"Public Instruction, Office of Superintendent of (OSPI)",
rmgn-qkw3,,,"Salmon Recovery Office, Governor's (GSRO)",
j2w5-q37a,,,Washington State Technology Solutions (CTS),
vdyt-xgj8,,,"Public Instruction, Office of Superintendent of (OSPI)",
skgr-3rmn,k882-u84m,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
5kcn-arpf,,,Asotin County Library,
dsji-k2ks,,,"Financial Management, Office of (OFM)",
r5ce-vyij,,,"Health, Department of (DOH)",
ivpk-yg37,,,"Salmon Recovery Office, Governor's (GSRO)",
hmup-uqqx,,,Asotin County Library,
7evj-s48w,,,"Public Instruction, Office of Superintendent of (OSPI)",
i9yd-vksw,,,"Public Instruction, Office of Superintendent of (OSPI)",
vn6u-fuhx,,,"Financial Management, Office of (OFM)",
f45e-hfk6,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
k4b9-5me8,,,"Public Instruction, Office of Superintendent of (OSPI)",
bhpj-n74n,,,"Public Instruction, Office of Superintendent of (OSPI)",
5kxt-svqx,,,Asotin County Library,
96md-aty8,,,"Public Instruction, Office of Superintendent of (OSPI)",
6gvj-mhar,cqra-s74n,dataset,"Natural Resources, Department of (DNR)","Fish and Wildlife, Department of (DFW)"
fhjf-dt8q,,,"Fish and Wildlife, Department of (DFW)",
rypk-eu78,,,"Public Instruction, Office of Superintendent of (OSPI)",
fr3a-ve3a,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
99bi-4yis,,,"Public Instruction, Office of Superintendent of (OSPI)",
m8w6-thut,,,Higher Ed - not listed,
e4c4-megs,,,"Financial Management, Office of (OFM)",
m76z-3hrh,,,"Public Instruction, Office of Superintendent of (OSPI)",
6f7e-mr9j,cqra-s74n,dataset,"Accountancy, State Board of (WBOA)(ACB)","Fish and Wildlife, Department of (DFW)"
myt4-rvx9,,,Asotin County Library,
qcs6-8uur,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ge54-6p8n,,,Washington State Technology Solutions (CTS),
r3u2-p8p4,,,"Health, Department of (DOH)",
84hb-ritz,,,"Public Instruction, Office of Superintendent of (OSPI)",
i23g-ymbg,,,"Public Instruction, Office of Superintendent of (OSPI)",
fnrx-vc9g,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
vp9t-gixy,,,"Natural Resources, Department of (DNR)",
a4di-c58x,,,"Public Instruction, Office of Superintendent of (OSPI)",
rcph-ykjc,,,"Public Instruction, Office of Superintendent of (OSPI)",
hm92-6wrv,,,Asotin County Library,
wact-ccx9,f6st-whvb,dataset,Other external user,"Ecology, Department of (ECY)"
mzzh-7zmi,,,"Financial Management, Office of (OFM)",
6h67-iwxu,,,"Natural Resources, Department of (DNR)",
e54r-ssx5,sb4j-ca4h,dataset,"Financial Management, Office of (OFM)","Attorney General, Office of the (ATG)"
rtjc-jkfh,,,"Public Instruction, Office of Superintendent of (OSPI)",
6fct-dcwh,,,"Licensing, Department of (DOL)",
kymy-ekgn,,,"Public Instruction, Office of Superintendent of (OSPI)",
xj8r-fn39,,,"Public Instruction, Office of Superintendent of (OSPI)",
db62-tmsv,,,"Ecology, Department of (ECY)",
bnkm-cuhn,,,"Public Instruction, Office of Superintendent of (OSPI)",
uafp-h7qx,,,"Public Instruction, Office of Superintendent of (OSPI)",
2fna-kukm,,,Timberland Regional Library,
dvzq-8mnd,,,"Public Instruction, Office of Superintendent of (OSPI)",
rnj5-cvf9,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
rmbx-qwui,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
eb78-pvac,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
nbfa-27qg,cqra-s74n,dataset,"Fish and Wildlife, Department of (DFW)","Fish and Wildlife, Department of (DFW)"
4rhj-k96j,,,Washington State Technology Solutions (CTS),
6m9i-8w2n,,,"Public Instruction, Office of Superintendent of (OSPI)",
85i4-xsey,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
g8kg-wiav,,,"Public Instruction, Office of Superintendent of (OSPI)",
a6b5-gsvq,,,"Public Instruction, Office of Superintendent of (OSPI)",
gykm-38he,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ih6n-egtp,6fpy-npmv,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
uw6y-b6i9,,,"Public Instruction, Office of Superintendent of (OSPI)",
khbx-sfp3,,,"Public Instruction, Office of Superintendent of (OSPI)",
6htq-bea2,,,"Public Instruction, Office of Superintendent of (OSPI)",
ykfu-5nf4,,,"Public Instruction, Office of Superintendent of (OSPI)",
c98t-h9s7,cqra-s74n,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
kqc6-w3pk,,,"Public Instruction, Office of Superintendent of (OSPI)",
25wp-ziwr,,,"Public Instruction, Office of Superintendent of (OSPI)",
7xfq-ddbs,,,"Labor & Industries, Department of (LNI)",
jxes-keyh,cqra-s74n,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
uu2h-cgpm,,,"Public Instruction, Office of Superintendent of (OSPI)",
rzaj-xnp5,,,"Public Instruction, Office of Superintendent of (OSPI)",
d2d5-tzh3,,,"Public Instruction, Office of Superintendent of (OSPI)",
js66-qdmg,,,Washington State Technology Solutions (CTS),
q795-aq5k,,,"Public Instruction, Office of Superintendent of (OSPI)",
rrdv-p5ir,k882-u84m,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
3b6q-tnqv,,,"Public Instruction, Office of Superintendent of (OSPI)",
xfvd-r3y9,,,"Financial Management, Office of (OFM)",
a87w-tzv3,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
yji7-twsm,,,"Public Instruction, Office of Superintendent of (OSPI)",
bgpu-j7bu,,,"Public Instruction, Office of Superintendent of (OSPI)",
d8ug-swrg,,,"Fish and Wildlife, Department of (DFW)",
dxj3-dhg3,,,Washington State Technology Solutions (CTS),
kvz6-msiu,,,Public Disclosure Commission (PDC),
2ibj-g99f,,,"Financial Management, Office of (OFM)",
fdmy-34wj,,,"Public Instruction, Office of Superintendent of (OSPI)",
edhj-ef9r,,,"Public Instruction, Office of Superintendent of (OSPI)",
wzit-br2e,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
4dxz-msu8,r5ki-dmfz,dataset,Other external user,"Criminal Justice Training Commission, Washington State (CJTC)"
fus6-zat9,,,"Public Instruction, Office of Superintendent of (OSPI)",
hegm-swm4,,,"Health, Department of (DOH)",
sc8p-adpm,,,"Attorney General, Office of the (ATG)",
a9zk-j4js,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
cpgk-g58k,,,"Public Instruction, Office of Superintendent of (OSPI)",
8sgc-ztfw,,,"Public Instruction, Office of Superintendent of (OSPI)",
sjxm-bc7i,,,"Public Instruction, Office of Superintendent of (OSPI)",
5eke-yiwr,ydx3-umcz,parent asset is private or deleted,"Financial Management, Office of (OFM)",parent asset is private or deleted
uazq-5d9p,,,"Public Instruction, Office of Superintendent of (OSPI)",
awzq-u65q,,,"Public Instruction, Office of Superintendent of (OSPI)",
kr8z-tfmn,,,"Public Instruction, Office of Superintendent of (OSPI)",
r8aa-pcb5,,,"Public Instruction, Office of Superintendent of (OSPI)",
7kjj-cgxk,,,"Public Instruction, Office of Superintendent of (OSPI)",
yhr5-4xw4,,,"Public Instruction, Office of Superintendent of (OSPI)",
3usg-u9ay,fgyz-n3uk,dataset,Public Disclosure Commission (PDC),"Fish and Wildlife, Department of (DFW)"
5dup-ie9a,,,"Financial Management, Office of (OFM)",
hbuu-npki,,,"Public Instruction, Office of Superintendent of (OSPI)",
8wmw-bydr,,,Recreation and Conservation Office (RCO),
9pvd-xkxf,cqra-s74n,dataset,Timberland Regional Library,"Fish and Wildlife, Department of (DFW)"
jxkg-sj8f,cqra-s74n,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
r8dt-hw6d,,,"Public Instruction, Office of Superintendent of (OSPI)",
wmk5-euti,,,"Financial Management, Office of (OFM)",
rey8-3s7y,,,Other external user,
722c-yigi,uyg8-hybx,parent asset is private or deleted,"Labor & Industries, Department of (LNI)",parent asset is private or deleted
yca2-z9cv,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
e3x6-7wqn,,,"Salmon Recovery Office, Governor's (GSRO)",
jzrz-dku2,,,Asotin County Library,
ewtr-vyaz,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
gtf9-dsdj,,,"Public Instruction, Office of Superintendent of (OSPI)",
ebwb-9rx9,,,"Financial Management, Office of (OFM)",
gkk7-7y7z,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
jcyr-zthi,,,"Ecology, Department of (ECY)",
x77f-ey35,,,"Labor & Industries, Department of (LNI)",
k6qx-ckee,,,"Public Instruction, Office of Superintendent of (OSPI)",
u6t9-petu,,,"Public Instruction, Office of Superintendent of (OSPI)",
iuqy-jds3,,,"Financial Management, Office of (OFM)",
u6d5-xq8d,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
qf7y-ftb2,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
dy4z-7qnm,,,Washington State Technology Solutions (CTS),
3bxf-chrn,,,Washington State Technology Solutions (CTS),
jnni-9x3j,,,"Public Instruction, Office of Superintendent of (OSPI)",
6d4t-nm2w,,,"Public Instruction, Office of Superintendent of (OSPI)",
kjiu-4cue,,,"Public Instruction, Office of Superintendent of (OSPI)",
xrt9-f5py,,,"Public Instruction, Office of Superintendent of (OSPI)",
a779-hxc5,,,"Public Instruction, Office of Superintendent of (OSPI)",
niqf-ftdf,,,"Public Instruction, Office of Superintendent of (OSPI)",
4s75-aan4,tn3n-uv4s,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
4s75-aan4,yccr-zbpr,filter,"Public Instruction, Office of Superintendent of (OSPI)","Public Instruction, Office of Superintendent of (OSPI)"
rv5z-7kdz,,,"Public Instruction, Office of Superintendent of (OSPI)",
rszh-2trr,,,"Public Instruction, Office of Superintendent of (OSPI)",
ndhp-dgg3,,,"Financial Management, Office of (OFM)",
si6q-6zyc,,,"Salmon Recovery Office, Governor's (GSRO)",
wx42-2w2e,,,"Public Instruction, Office of Superintendent of (OSPI)",
5vkc-tbi7,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
xgxu-ms2d,,,"Enterprise Services, Department of (DES)",
njkf-htie,,,"Public Instruction, Office of Superintendent of (OSPI)",
vrg9-4nnp,,,"Licensing, Department of (DOL)",
ji68-79i6,,,"Public Instruction, Office of Superintendent of (OSPI)",
bahc-ddpt,,,"Public Instruction, Office of Superintendent of (OSPI)",
evvy-j9nk,,,"Public Instruction, Office of Superintendent of (OSPI)",
w4ej-td6g,,,"Public Instruction, Office of Superintendent of (OSPI)",
ud2h-8fd3,,,"Public Instruction, Office of Superintendent of (OSPI)",
uqxb-mbhx,,,"Public Instruction, Office of Superintendent of (OSPI)",
q3wd-bpwb,,,"Financial Management, Office of (OFM)",
nqzc-mge5,,,"Ecology, Department of (ECY)",
x8ct-ymav,,,"Public Instruction, Office of Superintendent of (OSPI)",
jtvb-d9rv,,,"Public Instruction, Office of Superintendent of (OSPI)",
sd54-zfs9,,,"Public Instruction, Office of Superintendent of (OSPI)",
bk3y-kh2e,,,"Public Instruction, Office of Superintendent of (OSPI)",
5cjc-46tq,,,"Public Instruction, Office of Superintendent of (OSPI)",
6ukv-n3hz,,,Other external user,
qd56-ndxs,,,"Public Instruction, Office of Superintendent of (OSPI)",
unt5-akug,,,"Health, Department of (DOH)",
us6x-4rdh,,,"Public Instruction, Office of Superintendent of (OSPI)",
wmg6-9fbs,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
jv5j-swhv,,,"Public Instruction, Office of Superintendent of (OSPI)",
kcgz-mjzi,,,"Public Instruction, Office of Superintendent of (OSPI)",
4us6-k4gm,,,"Public Instruction, Office of Superintendent of (OSPI)",
73wi-zquj,,,"Financial Management, Office of (OFM)",
77re-duxa,,,"Public Instruction, Office of Superintendent of (OSPI)",
n6nr-z3e3,,,"Public Instruction, Office of Superintendent of (OSPI)",
36k8-snwu,,,Asotin County Library,
85yi-iz5w,,,"Public Instruction, Office of Superintendent of (OSPI)",
9f86-nsh6,,,"Public Instruction, Office of Superintendent of (OSPI)",
hncq-n7by,,,Washington Student Achievement Council (WSAC),
n4zi-dkdn,,,"Public Instruction, Office of Superintendent of (OSPI)",
es8x-zm5t,,,"Public Instruction, Office of Superintendent of (OSPI)",
5ncx-ir27,,,"Public Instruction, Office of Superintendent of (OSPI)",
qada-qfw3,,,"Public Instruction, Office of Superintendent of (OSPI)",
jy6x-buat,,,"Ecology, Department of (ECY)",
qhv7-gmd2,,,"Health, Department of (DOH)",
ttvq-s68f,,,"Ecology, Department of (ECY)",
8mim-ms6f,,,"Public Instruction, Office of Superintendent of (OSPI)",
uuzw-nb4z,,,"Public Instruction, Office of Superintendent of (OSPI)",
qikc-asgu,,,"Public Instruction, Office of Superintendent of (OSPI)",
2782-jgnn,,,"Public Instruction, Office of Superintendent of (OSPI)",
58iq-43xz,,,Other external user,
njsn-af7s,,,"Public Instruction, Office of Superintendent of (OSPI)",
8mvd-27dh,,,"Public Instruction, Office of Superintendent of (OSPI)",
xah2-85pt,,,"Public Instruction, Office of Superintendent of (OSPI)",
xbyk-35rp,,,"Financial Management, Office of (OFM)",
pst9-2na4,,,"Financial Management, Office of (OFM)",
k458-8ae8,,,"Labor & Industries, Department of (LNI)",
gsfw-5nr2,,,"Public Instruction, Office of Superintendent of (OSPI)",
h452-eef9,,,"Public Instruction, Office of Superintendent of (OSPI)",
6yfh-w978,,,"Fish and Wildlife, Department of (DFW)",
nu7y-vk2u,,,Asotin County Library,
w7dd-qd7e,,,"Public Instruction, Office of Superintendent of (OSPI)",
mw5w-5ius,cqra-s74n,dataset,"Salmon Recovery Office, Governor's (GSRO)","Fish and Wildlife, Department of (DFW)"
8ygw-vn3m,,,"Health, Department of (DOH)",
hq5b-r2hb,,,"Financial Management, Office of (OFM)",
b5fp-bq29,,,"Public Instruction, Office of Superintendent of (OSPI)",
hrdr-549u,,,"Public Instruction, Office of Superintendent of (OSPI)",
2di7-6ncs,,,"Enterprise Services, Department of (DES)",
jk73-q35d,,,"Public Instruction, Office of Superintendent of (OSPI)",
psgg-9kcf,,,"Public Instruction, Office of Superintendent of (OSPI)",
qjax-ywhk,,,"Public Instruction, Office of Superintendent of (OSPI)",
y63v-sfm2,,,"Public Instruction, Office of Superintendent of (OSPI)",
wtda-rrnp,,,"Public Instruction, Office of Superintendent of (OSPI)",
n99x-sgp4,,,"Enterprise Services, Department of (DES)",
8a8k-g4nd,,,"Public Instruction, Office of Superintendent of (OSPI)",
9uv3-w2c2,,,"Public Instruction, Office of Superintendent of (OSPI)",
vame-mg9u,,,"Public Instruction, Office of Superintendent of (OSPI)",
7i8p-t7z6,,,"Financial Management, Office of (OFM)",
f7uz-cecq,,,"Public Instruction, Office of Superintendent of (OSPI)",
tpyz-69yr,,,"Public Instruction, Office of Superintendent of (OSPI)",
f8ne-bbvv,,,"Financial Management, Office of (OFM)",
jd4g-9x8u,cqra-s74n,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
u5be-ss28,,,"Public Instruction, Office of Superintendent of (OSPI)",
88hx-6isc,,,"Financial Management, Office of (OFM)",
iz66-6yer,,,"Public Instruction, Office of Superintendent of (OSPI)",
7vi3-nbrv,,,"Public Instruction, Office of Superintendent of (OSPI)",
gd74-3fq2,,,"Public Instruction, Office of Superintendent of (OSPI)",
c8jq-87wd,,,"Financial Management, Office of (OFM)",
qqsv-vhfv,,,"Public Instruction, Office of Superintendent of (OSPI)",
rk5w-3q8b,,,"Public Instruction, Office of Superintendent of (OSPI)",
hfk5-3b7j,,,"Licensing, Department of (DOL)",
u7nb-v4qd,,,"Public Instruction, Office of Superintendent of (OSPI)",
bwnf-nauz,,,"Ecology, Department of (ECY)",
2u9s-9xjg,,,"Public Instruction, Office of Superintendent of (OSPI)",
h6py-nq4h,,,"Public Instruction, Office of Superintendent of (OSPI)",
8ynb-aii9,,,"Health, Department of (DOH)",
ccg7-vadd,,,"Public Instruction, Office of Superintendent of (OSPI)",
ayq3-pisd,,,"Public Instruction, Office of Superintendent of (OSPI)",
p97e-resq,,,"Public Instruction, Office of Superintendent of (OSPI)",
235x-z4vu,,,,
8dt8-9wkj,,,"Fish and Wildlife, Department of (DFW)",
62ye-kqqm,,,"Public Instruction, Office of Superintendent of (OSPI)",
yh49-c4vc,,,"Public Instruction, Office of Superintendent of (OSPI)",
44nf-8y42,,,"Public Instruction, Office of Superintendent of (OSPI)",
i2bm-i37r,,,Recreation and Conservation Office (RCO),
vtkp-4qan,,,"Ecology, Department of (ECY)",
ckzb-h5uw,,,"Public Instruction, Office of Superintendent of (OSPI)",
d7pn-hxrd,,,"Public Instruction, Office of Superintendent of (OSPI)",
